COD_ENCUESTADO,Nombre Campus,NIVEL ACTUAL,Clave de carrera,Ciclo,COMENTARIO,IND_GEA,IND_DELEGADO,CANT_CURSOS_MATRICU_SIN_INGLES,UOD_depostista_ind_deportista,NPS
28791,2,FC,101,4, El horario,,,3,,4
33257,3,FC,101,4, Los conocimientos brindados por la plana docente,,,4,,4
20181,1,AC,9,1, La atencion virtual tanto como la atencion via telefonica ya que es pesima.,,,7,,3
17933,1,AC,5,1, Es reconfortatnte,,,6,,4
13687,3,AC,18,4," la organizacion, el internet",,,6,,3
27372,2,FC,108,3, Tiene excelentes profesores.,,,4,,4
25935,3,FC,110,4, Horarios no flexibles,,,2,,1
21347,3,AC,5,6, La preocupación constante por los alumnos a nivel progesional o educativo y a nivel calidad de servicio.,,,6,,4
5453,3,AC,13,1, Mejorar matricula,,Delegado,7,,3
29760,4,FC,108,7," Contacto web sólo me dice que envíe mi solicitud a otro canal. El callcenter nunca me ha contestado. Atención al alumno me dice que vaya a contacto web. Hasta ahora no me entregan carne universitario, no puedo hacer matrícula en Línea, etc porque las bases de datos y sistemas están desactualizados.",,,4,,2
21808,3,AC,31,5," Servicio de atencion al alumno, wifi y exceso de alumnos",,,4,,2
33463,4,PRESENCIAL,219,1, Que hagan otro sótano para que el ingreso con los autos sea más rápido. Nos demora mucho dejar el carro e ingresar a clases,,,,,4
20919,4,AC,25,1, LOS PROFESORES Y LOS AMIGOS QUE TENGO DENTRO DE LA UNIVERSIDAD,,Delegado,4,,4
9548,1,AC,25,2," Por la calidad de enseñanza, la infraestructura y la tecnología que encontramos en los campus.",,,4,,3
27915,2,FC,106,3," Las clases presenciales y virtuales son muy interactivas, los profesores siempre están dispuestos a resolver cualquier consulta. Todo esto me ayuda a seguir aprendiendo y creciendo como profesional.",,Delegado,4,,4
11293,2,AC,9,1," Me gusta mucho el tema de la enseñanza, como vives la carrera desde un inicio, me gusta el ambiente que se vive dentro de la universidad y siento que con los profesores q tengo voy a poder aprender muchas cosas .",,,4,,4
32086,3,FC,104,5," En el horario. Se sale muy tarde. Las personas igual siguen llegando tarde a clases, se debe volver al horario de antes.",,,4,,3
19459,1,AC,5,1, Mucha gente,,,6,,2
3064,1,AC,13,1, El ambiente de estudio es muy agradable y organizado,,Delegado,7,,4
24083,3,AC,21,3, Deberian realizar mas tu plan educatuvo y velar por la infrestructura,,,4,,3
8878,3,AC,17,3," los problemas de matriula realmente deberian ser minimos, cuando son muy pronunciados en la universidad",,Delegado,4,,3
30791,3,FC,101,8," El campus. Los beneficios, como el gimnasio y piscina. La calidad de los profesores",,,4,,4
31204,3,FC,107,2, La organizacion de los cursos y modulos.,,,2,,4
3916,3,AC,14,3, el wifi noo,,,7,,2
11116,4,AC,2,5, Los profesores y las clases,,,8,,4
16970,3,AC,39,2, Los horarios,,,6,,2
27046,1,FC,101,1," En las clases, deberian ser mas dinamicas y explicativas",,,4,,3
30745,4,FC,101,2," El tiempo, la calidad de estudio y la infraestructura",,,5,,4
21628,3,AC,2,2, Porque los cursos que llevan blended nos dificulta.,,,6,,3
11967,3,AC,14,1, Que mejoren el aire acondicionado,,,4,,3
18476,4,AC,31,2," EL CURSO BLENDEED ES DETESTABLE Y NO LO RECOMENDARIA POR COMPLETO, LOS CURSOS ME PARECEN FANTASTICOS PERO BLENDEES ES DETESTABLE",,Delegado,4,,3
23204,3,AC,18,6, Porque no tiene una buena matrícula y no hay buen servicio al alumno,,,5,,3
15958,3,AC,7,5, Mayor cantidad de espacios de reuniones,,,6,,3
27696,1,FC,102,4," Deben mejorar el proceso de matricula , los ultimos 2 ciclos cada matricula ha resultado un caos para la mayoria de alumnos , donde no solo ha prevalecido el desorden , sino tambien , la pesima atencion al alumno.",,,4,,2
10069,1,AC,34,3," Que se mejore la matrícula en línea y la intranet de la universidad, además la velocidad del WiFi",,Delegado,5,,3
32081,1,FC,108,3, La exigencia y el prestigio que tiene.,,,4,,4
24023,2,AC,14,1, Tienen clases interactivas,,,4,,4
26553,2,FC,107,2, La exigencia en la enseñanza y lo bien conectado virtualmente.,,,2,,4
23412,3,AC,26,3," No estoy conforme con la infraestructura, para ser una universidad cara y con prestigio, deberíamos contar con ambientes más modernos. Necesitamos aire acondicionado en los salones, no ventiladores. Deberían mejorar la limpieza de los baños, sobretodo en el break. Deberíamos contar con una forma más eficiente para entrar a la universidad, se genera demasiado desorden al entrar mostrando el TIU.",,,5,,1
3176,4,AC,15,1, El ambiente que tiene y los profesores,,,7,,4
21735,2,AC,25,1, Mucho plata se paga,,,4,,2
1532,3,AC,32,1, La calidad de enseñanza,,,2,,4
31999,3,FC,101,1, La enseñanza de los profesores,,,4,,4
16442,4,AC,14,2," En los cursos Blended, consideró que se aprende mejor asistiendo a clase, que a través de un sistema virtual",,,6,,3
8269,1,AC,31,2, La capacidad que tienen los profesores al momento de la enseñansa,,,6,,4
14631,3,AC,25,1," El trato del profesor, la forma en que habla por mas que sea amigable trata a la gente como alumnos de escuela",,,4,,2
17469,3,AC,11,4, aire acondicionado en las aulas,,,5,,3
29620,3,FC,101,4," Aún hay cursos por mejorar en materiales, como ingles.",,Delegado,4,,3
24377,3,AC,25,6, En no subir la pensión y q haya mas salones a la hora de la matrícula,,,6,,3
32820,3,FC,105,1, El aprendisaje,,,3,,4
19682,3,AC,39,3, La atención al alumno,,,7,,3
15746,4,AC,20,1," En todo lo que es trámites y en la falta de ascensor ,",,,5,,1
24004,4,AC,28,1, la infrestuctura,,,4,,4
12602,3,AC,7,1, La educación y exigencia que los profesores tienen para que te desarrolles en tu campo,,,3,,4
10934,1,AC,35,2, porque tiene buenos profesores,,,6,,3
7417,4,AC,25,1," En primer lugar , lo que más me gustó es la dedicación de los docentes en cuanto al aprendizaje y la mejora de la institución para con los alumnos . También de que tiene buenas y modernas instalaciones .",,Delegado,5,,4
4699,1,AC,35,1, Por ahora nada,,,6,,3
16851,2,AC,25,1, Mas aulas disponibles y mayor espacio junto con aulas para trabajar con software,,,6,,3
17777,3,AC,7,1, El wifi,,,4,,3
29945,3,FC,106,9, La tecnología y la buena enseñanza,,,3,,4
28969,4,FC,105,5, Los profesores con experiencia,,,4,,4
30940,1,FC,107,6, muy caro,,,3,,2
4384,3,AC,14,9," Los cursos de las carreras deben tener teoría y mucha práctica, mucha vida real. Ahora que trabajo, me doy cuenta que muchos temas los he visto teóricamente y no como debo desarrollarlo, o de repente ni los he visto.",,,3,,3
22869,3,AC,28,3, hay mucha gente en esta sede,,,6,,1
9175,3,AC,3,2, Todos los trabajos son en equipo y nadie se esfuerza.,,Delegado,6,,1
16479,3,AC,12,1, Está todo bien,,,5,,3
12511,2,AC,5,2, Hasta ahora en nada.,,,7,,2
6764,3,AC,34,1, Es buena,,,9,,4
27127,3,FC,107,10, Mejorar calidad de profesores.,,,2,,2
13360,3,AC,7,1, En la limpieza de los baños de mujeres y el acceso al wifi en la parte de la rotonda,,,3,,3
21389,3,AC,13,1, 1. Algunos profesores no enseñan bien 2 siempre dejan un montón de leer para las prácticas 3 la cafetería deben agrandarla,,Delegado,5,,2
19325,2,AC,29,1," No tengo ningún aspecto malo de la universidad,y a mi me encanta estudiar en esta sede de san miguel ,gracias.",,,2,,3
21007,4,AC,31,4, Su sistema administrativo me parece ineficiente.,,,4,,2
16050,1,AC,33,4," Infraestructura, profesores, aulas",,,6,,4
6660,3,AC,32,2, muy bien,,,6,,3
3975,2,AC,15,2," La calidad de atención al alumno, también en los servicios que brindan, la falta de captación de los empleados, excepto el servicio de limpieza. Poca INNOVACIÓN, que ese se supone que sería una de las características en las que resalte la Universidad, ent",,Delegado,7,,2
610,1,AC,14,1," Nos enseñan bien , nos llevan a tender una experiencia en grupos hacia el éxito .",,,5,,4
4753,4,AC,31,1, Los costos muy elevados,,Delegado,5,,2
32118,3,FC,100,2, En los proyectores son muy bajos.,,,4,,3
22485,4,AC,11,1, Tecnologia,,,4,,4
27064,3,FC,101,2," Servicios en línea, wifi...",,,2,,3
32591,4,PRESENCIAL,222,1, las aulas virtuales,,,,,3
27453,3,FC,109,7, Son una empresa privada que no tiene ninguna verguenza al mostrar su afan por generar mas utilidades a costa de nuestra educacion. Sinceramente es lamentable la filosofia de lucrar que han adoptado. Almenos no sean evidentes y sobretodo no nos atropellen. Finalmente somos nosotros los que les damos de comer.,,,2,,1
17131,1,AC,7,3, Se preocupan por la enseñanza de los alumnos,GEA,,5,,3
25509,3,FC,107,4, Metodologia de estudio.,,,2,,1
17381,2,AC,31,1, Es buena por estar acreditada y tener buenos convenios internacionales pero debe mejorar en el aspecto de la matrículas poner suficientes vacantes para no quedarse sin llevar uno o dos cursos,,,3,,3
30612,2,FC,106,4, En poner trabas para la matricula y no dar facilidades para traslado de sedw,,,4,,2
31067,3,FC,104,4, Falta de integración,,,5,,3
3980,1,AC,37,1, los horarios muy temprano deben empesar als 8 als clases,,,6,,2
10003,3,AC,11,2," precios, mala atención",,,5,,2
14329,1,AC,37,1, Piscina,,,5,,4
21717,3,AC,7,4," Más descuentos conscientes, más facilidades de pago sin tato trámite , accesos tecnología",,,5,,3
20082,3,AC,5,1, Más salones,,,4,,3
17268,4,AC,25,5," Nos hacen perder muchas clases. Quiero estudiar, aprender e innovar.",GEA,,5,Deportista,2
24470,1,AC,1,6, hay mucha gente,,,5,,3
17917,3,AC,5,2, Excelente aprendiZaje,,,6,Deportista,4
29580,3,FC,100,6, La enseñanza,,,4,,4
3194,1,AC,36,1, La tecnología que nos brindan para poder desarrollar nuestro aprendizaje,,,5,,4
13362,3,AC,7,1," Es muy buena, pero el wifi es bastante lento y en algunos salones no se puede usar correctamente el gps",,Delegado,5,,4
2489,3,AC,39,1," La calidad de los profesores y la tecnología que manejan, muy práctica",,Delegado,6,,4
29064,3,FC,107,7, El nivel de exigencia hacia los alumnos.,,,3,,4
8836,3,AC,25,5, Definitivamente.exige,,,5,,3
29671,3,FC,109,9, La falta de.comunicación q no se da,,,3,,2
8162,1,AC,31,2," Mejorara en los tipos de horarios, y sobre los talleres educativos",,,5,,3
22571,1,AC,38,6, Buena enseñanza y con materiales completos,,Delegado,7,,4
7709,4,AC,5,1, Es muy buena universidad,,,5,,4
27009,3,FC,107,7, Es una excelente universidad... te brinda todas la herramientas necesarias para poder estudiar y poder realizarte como profesional.,,,5,,4
19750,3,AC,31,5," Falta salones, más espacios de comidas, más lugares de estudio",,,6,,3
4992,2,AC,5,1," Tiene buena infraestructura, hay buenos profesores y su método de estudio es de los mejores",,,3,,4
15665,3,AC,32,5, Dan mucha preferencia a los alumnos nuevos que a los quebya tienen tiempo estudiando,,Delegado,5,,3
12237,4,AC,14,4, Porque tiene una muy buena infraestructura y en especial por el wacc.,,,5,,3
2518,4,AC,25,3," Disponibilidas de cubiculos y ambientes en la cafeteria, falta de comida saludable",,,5,,3
18542,3,AC,25,3, mejorar la atencion,,,5,,2
31565,3,FC,110,5, Mas material de clases,,,4,,3
24276,2,AC,18,2," No hay fiesta anual, campus pequeño y mensualidad alta",,,6,,2
16437,3,AC,29,7, Muy buena,,Delegado,4,,4
2447,2,AC,30,1, faltan algunas cosas y los serviciode cargador paara celulares estan malogrados,,,4,,2
15593,3,AC,9,4, La calidad de sus docentes. Pero no me gusta que hayan quitado las computadoras,,,7,,4
20538,3,AC,12,2, Dejar de subir la pensión anualmente porque es un abuso. Equilibrar el balance de ingresadosEgresados. Limpiar mejor los baños porque suelen oler mal. Instalar más máquinas de comida saludable y no con precios tan elevados.,,Delegado,7,,3
3728,3,AC,39,1, Los cursos,,Delegado,6,,4
3803,4,AC,25,1, En los servicios de servicio de ayuda por telefono,,Delegado,6,,3
4220,2,AC,9,2," Pienso que se debería respetar el horario de almuerzo, al menos media hora.",,,8,,3
12573,3,AC,3,1, En el wiffi,,Delegado,5,,3
29237,3,FC,107,2, El nivel exigencia.,,,2,,4
2091,1,AC,37,9, La pensión es excesivamente cara... Los horarios son complicados al elegir tus cursos... Para lo que pagas debería ser mejor...,,,5,,3
26928,2,FC,108,3, La atencion en la gestion administrativa es lenta,,,2,,2
5589,3,AC,34,1, En el pago de la.pension mas facilidades,,,7,,3
19739,3,AC,28,1," Buenos profesores, enseñan bien, explican, y hacen interesante el tema, la mayoria",,,4,,3
23912,3,AC,12,8," Sistema, instalaciones, servicios",,Delegado,3,,3
201,4,AC,3,1," Considero muy elevado el costo de las mensualidades y pese a tener una buena tecnica de enseñanza, eso puede ser un factor obstaculo para muchos para seguir estudiando.",,,4,,1
32337,2,FC,107,3, Porque es buena en los temas que enseña,,,4,,4
26892,3,FC,101,3," Se debería verificar los horarios de algunos cursos. Por otro lado, la metodología de enseñanza de los profesores en algunos casos no es la más adecuada pensado en que los alumnos de EPE somos personas q trabajamos y se entiende que está enfocado a este tipo de personas",,,4,,2
12693,1,AC,25,3, Falta compenetración entre facultades,,,5,,3
19085,1,AC,37,7," La ubicación de las sedes. El servicio de atención al alumno. Las computadoras estan en mantenimiento por dos semanas, los horarios estan ml estructurados y organizados. El estacionamiento ya colmo su capacidad...",,,7,,3
16615,1,AC,7,3, Bajar la pension,,Delegado,3,,3
8222,3,AC,7,7, Lo que más valoro que en este ciclo no hubo lucho problemas en matricula,,,4,,4
21978,4,AC,15,2," Me encanta su infraestructura, y su forma de enseñanza.",,Delegado,7,,4
9584,3,AC,5,1," Los servicios que brindan al alumno, así como también las tutorias de diferentes cursos que nos brindan.",,,4,,4
32409,1,FC,101,8, Con respecto al curso de inglés. Es muy caro además no te dan libros como lo hacían antes.,,,1,,3
11533,3,AC,9,2, La recomendaría para la carrera que estoy llevando,,,7,,4
19227,3,AC,25,8, La WASC,,Delegado,6,,3
24894,4,AC,31,2, Más espacios de estudio,,Delegado,5,,3
2307,3,AC,21,1, Los maestros capacitados,,,6,,4
33672,1,PRESENCIAL,225,1," Mejorar en brindarnos feedback de algunos profesores, mantener la calidad de enseñanza y exigencia.",,,,,3
19168,3,AC,13,2, Buenos profes buen sistema,,Delegado,7,,4
29341,4,FC,108,4, La calidad de sus profesores y su curricula,,,4,,4
10945,4,AC,31,6, infraestructura y atención al alumno,,Delegado,7,,1
24160,1,AC,11,2, no me parece una universidad muy humana y considero el factor humano importante. Es una universidad que te guía a hacer negocios olvidando que estos se basan en humanos.,,,4,,2
32581,4,PRESENCIAL,222,1, Sistema de enseñanza,,,,,4
20151,1,AC,3,1," Que mejoren el ambiente , que haya más campo verde",,,5,,3
11450,2,AC,30,1, deben mejorar en lo que son espacios deportivos creo yo que debería ver mas canchas de fútbol,,,3,,3
23334,3,AC,3,4, Deben de dejar de subir constantemente la mensualidad,,,6,,3
6291,4,AC,2,5," Opino que los iPad no son la mejor opción para cursos número como en mi curso de administración de operaciones. Así mismo, los cursos numéricos no deberían ser blended",,,6,,3
26508,2,FC,108,2, Calidad en la enseñanza,,,1,,4
23054,3,AC,18,5, Mucha gente !!!! Muchos alumnos en clase,,Delegado,7,,3
644,3,AC,39,5, Muy buena enseñanza e infraestructura,,Delegado,6,,3
12418,2,AC,31,1, Espacios para desenvolver a los alumnos,,,1,,3
3951,3,AC,25,1, Investigación,,,5,,3
999,3,AC,31,2, Cursos con mejores horarios,,Delegado,7,,2
30040,3,FC,100,1, En ayuda al alumno sobre los cursos de EPE,,,4,,3
25167,2,AC,14,1," Es una bjena universidad, y brinda a los estudiantes una enseñanza de calidad",,Delegado,3,,4
26352,4,PRESENCIAL,213,1, La calidad de los docentes para nuestras competencias al futuro.,,,,,4
729,4,AC,5,2," En el proceso de matrícula, fuera de ello todo bien",,,4,,3
21930,3,AC,34,3, Deberían reducir los tramites y definir mejor las mallas de las carreras para que sean estables y no cambien cada ciclo,,,7,,3
28537,4,PRESENCIAL,217,1, Profesores no especializados y clases sin participación,,,,,1
27960,3,FC,107,11, Se debe mejorar la atención del alumno y la solución de problemas,,,2,,3
6296,4,AC,3,7," Consideró que ha mejorado en muchos aspectos, aunque podría ser mejor en cuanto a disponibilidad de salones.",,,5,,4
3468,2,AC,15,1, Su forma de calificación debería ser de 11 como todas la Universidades,,,7,,2
30212,1,FC,101,8," En los costos, flexibilidad de horarios, talleres y tutorias.",,,4,,3
31750,2,FC,101,9, El profesionalismo y experiencia de los profesores y la infraestructura,,,4,,4
30893,3,FC,103,1, Por la metodologia de enseñanza es proactiva y eficaz.,,,4,,4
23947,4,AC,3,2, Baños deben mejorar,,Delegado,6,,3
5374,2,AC,5,1," Algunos problemas en el sistema del blackboard (Aula virtual) cuando realizas una tarea o practica. Capacitación a los docentes del uso del Ipad, ya que algunos docentes tienen inconvenientes en utilizarlo.",,,5,,3
23214,3,AC,34,2, El servicio al alumno es deplorable para la matrícula.,,Delegado,6,,1
26079,2,FC,107,7, ME PARECE QUE LA CARRERA DE INGENIERIA TIENE MUCHOS CICLOS DEBERÍA SER IGUAL QUE TODAS LAS CARRERAS 10 CICLOS,,,4,,2
11611,4,AC,9,2," Todo está excelente, pero las pensiones cada vez van costando un ojo de la cara, sería maravilloso que la reduzcan a una cantidad considerable y accesible para todos.",,,6,,3
21314,3,AC,8,2, Algunos cursos son difíciles y el blended los complica más. Debería ser un poco de más horas presenciales,,,4,,3
17058,4,AC,13,5, La infraestructura,,Delegado,8,,4
27557,3,FC,109,2, En las tutorias.,,,4,,3
30488,2,FC,101,5, Los profesores que forman de su plana docente son los mas capacitados y motivadores en lo que respecta a mi carrera profesional y personal. Además el tema de la innovación es otro punto importante.,,,4,,4
20260,3,AC,13,4, Se debe se mejorar el internet,,,7,,3
32729,3,FC,104,2, Los docentes y su método de enseñanza,,,4,,4
29832,1,FC,101,1," es mi primera vez en una universidad pero el poco tiempo que llevo en ella, me siento totalmente en confianza con los profesores , aprendo , el nivel de aprendizaje es muy buena y hace q me exiga mucho mas.",,,4,,4
12618,4,AC,28,4, Que es una universidad con mucho prestigio y con buenos profesores,,,6,,4
3995,3,AC,11,2, moderna,,,6,,4
22055,3,AC,32,7, HAY PROBLEMAS INSTITUCIONALES(MATRICULA) Y FALTAS DE INSTRUMENTOS DE CARRERA,,Delegado,6,,3
24268,2,AC,17,1, Porque la Universidad no cumple con mi espectativas,,,3,,2
19491,1,AC,33,2," Deberia mejorar el aspecto virtual. Hay apps desactualizadas, constantes problemas en Intranet Socrates y en ocaciones mala archivacion de documentoa de los cursos en el Blackboard.",,Delegado,5,,3
6500,4,AC,11,3, Su servicio al alumno en general,,,7,,3
14773,4,AC,3,1, La calidad de enseñanza es muy buena y te permite conocer tu carrera desde el inicio.,,,5,,4
28412,4,FC,101,2, Enseñanza,,,5,,4
4079,3,AC,7,7, en la infraestructura,,Delegado,4,,3
27583,3,FC,106,7, La exigencia de los profesores y la calidad de la enseñanza.,,,4,,4
1428,3,AC,11,3, Coordinacion de cursos Mejores horarios Mejor plataforma virtual,,,7,,3
17376,3,AC,31,9," Por ser Ecuatoriano me pusieron en escala alta y pago demasiado, presente la solicitud de recategorización y no me la dieron. Aparte, el método blended, no lo considero adecuado. Y como es posible que paguen un ciclo completo cuando llevas solo un curso, o menos a 12 créditos.. se pasan de abusivos",,,3,,1
7763,3,AC,3,6, Las innovaciones en la formación académica y malla curricular,,,6,Deportista,4
26601,2,FC,107,3," Mantener a los profesores que son muy profesionales, me han enseñado profesores que ya no están en la universidad.",,,3,,4
15126,1,AC,31,3, Tiene buena metodología,,,5,,3
33246,4,PRESENCIAL,210,1, Separar pregrado de postgrado y colocar más estacionamientos,,,,,3
31537,2,FC,107,1, Deben de hacer más seminario para dominar la exposición,,,4,,3
9385,3,AC,7,2," los espacios son muy pequeños, debería facilitar la llegada a la universidad.",,,6,,3
25835,1,FC,109,3," la exigencia, el trabajo en equipo, y sobre todo las facilidades en el horario que nos brinda la universidad.",,,1,,4
24111,3,AC,11,8," Mejor cuidado al alumno, mejor actividades al alumno, mejorar la matricula",,,7,,2
11654,2,AC,31,1, Mucha exigencia,,Delegado,5,,4
25141,3,AC,20,1, En la higiene de los baños,,,5,,2
1560,1,AC,5,4," Precio de la mensualidad, mejores profesores y mejor atención y solución de problemas",,,5,,3
11769,1,AC,5,1," Su metodo de enseñanza, Es muy buena y amenisa con los grupos. Tambien sus tutorias son impresionantes y para variar sus espacios deportivos. Es una gran universidad ya que lo tiene todo",,Delegado,5,,4
33167,1,FC,102,4," mejorar los servicios de EPE comedores, salas de estudio, y otros servicios",,,1,,2
26149,3,FC,109,9, mas laboratorios en los cursos de carrera de ing. civil y menos cursos de gestion,GEA,Delegado,4,,3
2957,1,AC,33,1," La calidad de profesionales que enseñan los cursos, equipamiento completo y moderno, e infraestructura",,,3,,4
32782,3,FC,104,7," Un poco más de organización con la población universitaria, rutas de acceso y campus me parece que ya hay sobre carga de usuarios.",,,4,,3
14610,1,AC,7,2, El pago de la mensualidad al perder el tercio es un problema para mí. Es demasiado.,,Delegado,5,,2
231,2,AC,25,1, Es buena,,,4,,4
12351,1,AC,7,1, un poco de organización,,,4,,3
30929,4,FC,107,2, La exigencia y calidad de enseñanza,,,4,,4
28906,2,FC,108,3, Facilitar entrada en caso de pérdida de Tiu creo que es suficiente con el carnet universitario en vez de estar haciendo cosas que retrasan el ingreso a clases,,,4,,3
30999,4,FC,108,3, Mi proceso de matricula fue bastante dificultoso y las clases no son tan sustanciales y ordenadas como esperaba.,,,4,,2
33087,4,PRESENCIAL,224,1," La calidad de los docentes, tecnologia",,,,,4
30773,4,FC,105,1, Contesten el telefono,,,4,,3
5161,2,AC,9,1, Buenoa profesores,,Delegado,7,,4
13746,1,AC,5,4, No me gustan sus cursos blended y su modalidad semivirtual en general.,GEA,Delegado,6,,2
28339,4,FC,101,4, La enseñanza y los horarios que se ajustan al tiempo que tenemos personas que trabajan y tienen carga familiar,,,5,,4
7232,1,AC,5,2, Los profesores y el trato que tienen con los alumnos.,,,6,,4
1573,3,AC,6,6, A la hora de hacer las matrículas es un caos; o te cierran salones así me haya tocado el primer día,,Delegado,7,,2
25173,2,AC,7,1, La organización,,Delegado,4,,3
22975,4,AC,22,2, EN NO COLOCAR FRUTAS PARA CONSUMIR,,Delegado,6,,2
12583,3,AC,31,2, La calidad de enseñanza y los beneficios que te da la universidad,,,5,,4
26327,2,FC,100,1, Ampliar sedes,,,4,,3
18137,4,AC,9,1, Que tiene buena infraestructura,,,5,,4
10829,3,AC,5,4, La exigencia y la búsqueda de excelencia de los alumnos,,,5,,4
31567,3,FC,110,1, Metodología de enseñanza.,,,4,,4
7465,1,AC,5,3, Es muy buena tiene buenos profes,,Delegado,6,,4
18090,1,AC,7,2, La metodología de algunos profesores.,,,4,,3
14146,4,AC,25,3, No debe existir blended en calculo y física,,,5,,2
14173,4,AC,21,1, Calidad y exigencia,,Delegado,4,,4
6669,4,AC,14,5, Definitivamente apertura más ventanillas en atención al alumno y stansa( servicios de impresión u copias ),,,6,,3
1102,4,AC,5,1, Debe ser mas grande,,,5,,3
22741,1,AC,3,1, Muy buenos profesores y el ambiente.,,,4,,4
18248,4,AC,25,1, Es la mejor en mi carrera,,,4,,4
27405,1,FC,108,1, Mejores organizacion de trabajos,,,2,,3
33169,1,FC,102,3, En It service,,,4,,3
16733,1,AC,3,1," La exigencia va aumentando poco a poco, te obligan a superarte siempre. Las instalaciones también son importantes para nuestra comodidad, y están bien estructuradas. Una hermosa universidad",,,5,,4
31881,3,FC,101,7, Alta cantidad de personas para un campo limitado. Metodología inadecuada de algunos docentes y el aumento excesivo de la pensión. Mala atención en algún reclamo.,,,4,,1
25209,4,AC,29,2, Su tecnologia,,Delegado,6,,4
31628,3,FC,103,2, Algunos profesores se limitan a leer las diapositivas y no son tan didácticos. Además el nuevo horario EPE me parece antipedagógico,,,2,,2
23448,3,AC,31,9," El proceso de matricula, los recursos de la universidad por ejemplo la capacidad de la biblioteca, los cubculos. El wifi",,Delegado,5,,3
9876,3,AC,7,3, Mejor atencion al alumno,,Delegado,4,,3
20591,3,AC,5,8, La recomendaria porque tiene un alto nivel de exigencia y te brinda herramientas para poder desenvolverte en el ambiente profecional.,,Delegado,5,,4
27552,3,FC,107,9, Mayor capacitacion a los profesores,,,3,,3
19967,3,AC,3,1, Espacio estructural,,,4,,3
29327,2,FC,107,6, Los profesores son buenos,,,4,,4
15179,3,AC,13,6, La abundancia de alumnado en la sede de Monterrico genera una mala experiencia diaria para estudiar. Es estresante.,,Delegado,6,,3
29598,3,FC,100,6," universidad con buenos profesores, innovacion.",,,4,,4
666,1,AC,7,2, No hay wifi,,Delegado,5,,1
4200,3,AC,5,1, Por que los profesores no son buenos,,,3,,1
26182,3,FC,106,4, Atencion al alumno si solucionan eso. Ayudarían a muchas personas sin pasearlas q hablé con esta persona q hablé con la otra. Incómoda.,,,5,,3
12556,3,AC,8,1," Control en las puertas, el olor a tabaco afecta a todos.",,,5,,3
6724,1,AC,25,1, La universidad cuenta con asesorías personales y talleres,,,4,,4
19582,3,AC,25,2," No hay baño en el tercer piso del A. La comida es muy cara y de poca variedad. Faltan puff, son muy pocos. El wifi falla siempre. Servicio de transporte del A al F. En geología ¡¡¡¡¡faltan mujeres!!!!!",,,5,,3
13212,2,AC,15,1, La exigencia y trabajos grupales,,,7,,4
22142,1,AC,33,5, Organizacion,,,4,,2
3070,3,AC,17,1, Que todo sea tecnología y muy actualizado en casi todo,,,5,,4
8178,3,AC,7,1, Lo que mas Valoro de mi universidad es la exigencia y el nivel de educación que tenemos,,Delegado,4,,4
17817,1,AC,28,2, La enseñanza,,,5,,4
11052,3,AC,13,4, Suben la pension,,Delegado,7,,1
26471,3,FC,107,2, Mejorar la app.,,,4,,3
23619,4,AC,15,2," Con respecto a los alumnos, que no dejen ingresar a cualquiera que exista una barrera para que puedan estar dentro de la universidad.",,Delegado,6,,3
7764,1,AC,5,2, Porque es muy buena,,,6,,4
7650,1,AC,33,2, Son didacticos,,,6,,4
7103,1,AC,25,7, Valoro la calidad en la enseñanza que nos brinda y por la infraestructa que posee la cual facilita el aprendizaje,GEA,,7,,4
14250,4,AC,31,3, Demuestra calidad y los egresados son los más requeridos en el mercado,,,3,,4
13877,1,AC,28,4, Mejorar la calidad educativa y el servicio al usuario,,,5,,3
5809,1,AC,7,1, La exigencia y los buenos profesores,,,4,,4
16386,3,AC,5,2, Más mesas en el L,,Delegado,5,,3
23342,4,AC,29,1, por tener grandes facilidades para los alumnos,,,4,,3
30681,2,FC,107,4, La exigencia y el alto nivel en la enseñanza,,,4,,4
32933,4,PRESENCIAL,213,1, Falta de coordinación por cambios de horarios,,,,,2
4112,1,AC,25,2," La interaccion con personas nuevas, ademas de aprender cosas nuevas.",,,5,,4
19695,2,AC,32,1, todo esta bien solo aveces hay problemas en la app como que demora en ejecutarse pero el portal web esta bien,,,7,,3
18082,4,AC,5,4, Mejorar la velocidad de internet y la atencion online,,,6,,3
21383,3,AC,14,1, Quitar sus cursos blended,,,4,,3
21423,3,AC,31,3," No lo recomiendo totalmente puesto qe he tenido problemas con el servicio en it service en la rapidez de la solucion de problemas para las grabaciones de videoconferencias y examenes virtuales. Asi mismo, la infraestructura del centro de informacion no permite que para el total de alumnos qe cuenta la universidad toodos puedan acceder a un cubículo o un espacio donde se pueda estudiar. Por otro lado, los servicios higienicos deberian contar con las toallas de papel lo cuales solo existen en el s",,,4,,2
11131,4,AC,25,3, Por ser muy buena y con excelentes docentes,,,6,,4
10661,2,AC,7,3, Su esfuerzo y dedixaxiendo,,Delegado,5,,4
26921,2,FC,107,3, La calidad educativa y prestigio de la universidad.,,Delegado,5,,4
28269,2,FC,109,1, muy buena educación,,,4,,4
7517,4,AC,31,2, enseñan bien,,,7,,3
6646,4,AC,14,6," Pensiones, atención al alumno",,,7,,3
12795,1,AC,37,7, Estacionamiento,,,5,,3
22172,3,AC,25,1, Me agrada el campus,,,4,,4
